DistributionChannel	UserLanguage	Age	Sex	DV Item_1	DV Item_2	DV Item_3	DV Item_4	DV Item_5	DV Item_21	DV Item_6	DV Item_7	DV Item_8	DV Item_9	DV Item_10	DV Item_11	DV Item_12	DV Item_13	DV Item_14	DV Item_15	DV Item_16	DV Item_17	DV Item_18	DV Item_19	DV Item_20	Personal Income	Parent 1 Income	Parent 2 Income	Personal Education	P1 Education	P2 Education	ID Num
Item Description Removed	Item Description Removed	Item Description Removed	Item Description Removed	Item Description Removed	Item Description Removed	Item Description Removed	Item Description Removed	Item Description Removed	Item Description Removed	Item Description Removed	Item Description Removed	Item Description Removed	Item Description Removed	Item Description Removed	Item Description Removed	Item Description Removed	Item Description Removed	Item Description Removed	Item Description Removed	Item Description Removed	Item Description Removed	Item Description Removed	Item Description Removed	Item Description Removed	Item Description Removed	Item Description Removed	Item Description Removed	Item Description Removed	Item Description Removed	Item Description Removed	Item Description Removed
"{""ImportId"":""distributionChannel""}"	"{""ImportId"":""userLanguage""}"	"{""ImportId"":""QID1_TEXT""}"	"{""ImportId"":""QID2""}"	"{""ImportId"":""QID13_1""}"	"{""ImportId"":""QID13_2""}"	"{""ImportId"":""QID13_3""}"	"{""ImportId"":""QID13_4""}"	"{""ImportId"":""QID13_5""}"	"{""ImportId"":""QID13_21""}"	"{""ImportId"":""QID13_6""}"	"{""ImportId"":""QID13_7""}"	"{""ImportId"":""QID13_8""}"	"{""ImportId"":""QID13_9""}"	"{""ImportId"":""QID13_10""}"	"{""ImportId"":""QID13_11""}"	"{""ImportId"":""QID13_12""}"	"{""ImportId"":""QID13_13""}"	"{""ImportId"":""QID13_14""}"	"{""ImportId"":""QID13_15""}"	"{""ImportId"":""QID13_16""}"	"{""ImportId"":""QID13_17""}"	"{""ImportId"":""QID13_18""}"	"{""ImportId"":""QID13_19""}"	"{""ImportId"":""QID13_20""}"	"{""ImportId"":""QID3""}"	"{""ImportId"":""QID4""}"	"{""ImportId"":""QID5""}"	"{""ImportId"":""QID6""}"	"{""ImportId"":""QID7""}"	"{""ImportId"":""QID8""}"	"{""ImportId"":""ID Num""}"
anonymous	EN	53	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	10	MISMATCH WITH x_4969672337	7	4	4	4	4969672337
anonymous	EN	56	2	2	1	1	0	2		2	0	1	0	1	1	0	2	0	1	0	0	2	0	0	4	5	6	4	4	4	8198630693
anonymous	EN	35	2	0	0	0	3	0		0	1	1	0	0	0	2	0	0	0	1	0	0	0	0	9	5	5	4	3	2	19246563
anonymous	EN	35	2	2	3	2	1	1		3	3	2	1	0	2	2	2	3	0	2	1	2	1	2	7	7	6	4	3	4	2464403510
anonymous	EN	53	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	10	22	7	4	4	4	X_4969672337
anonymous	EN	28	2	3	3	3	3	3		3	3	3	2	3	1	1	1	3	1	1	2	3	3	3	7	10	6	3	3	3	321925096
anonymous	EN	27	2	1	1	0	1	1		0	0	0	0	1	1	0	2	1	0	1	0	2	0	0	8	8	8	4	2	3	6519815619
anonymous	EN	18	2	0	0	1	1	2		1	1	2	1	0	0	2	1	1	1	3	0	1	1	1	1	1	12	3	4	4	3140311432
anonymous	EN	27	1	0	1	0	1	0		1	0	0	1	0	1	0	1	0	0	1	0	1	0	1	16	16	16	4	2	1	4983614105
anonymous	EN	25	1	0	0	0	0	0		0	0	3	2	2	1	2	2	1	1	2	0	1	0	3	1	6	2	3	3	2	2909260015
anonymous	EN	33	1	1	0	0	3	1	0	0	1	3	0	0	2	3	1	0	0	3	0	0	0	1	15	13	3				
anonymous	EN	32	2	1	1	0	2	1	0	0	0	3	0	0	1	3	1	1	0	3	0	1	0	0	4	3	9	3	3	4	6462613916
anonymous	EN	59	2	1	2	1	2	0		2	3	2	1	3	2	1	2	0	2	1	2	0	2	1	8	8	10	4	3	4	3474396145
anonymous	EN	21	2	2	1	2	2	1		2	2	2	1	2	2	1	1	2	2	1	2	1	2	2	3	5	5	3	3	3	4126641270
anonymous	EN	27	2	2	1	1	2	1		1	2	2	1	0	1	2	1	1	1	1	0	0	1	0	5	3	3	4	2	3	4834299185
anonymous	EN	35	1	3	1	3	0	3		3	3	0	3	3	3	0	3	1	3	0	3	3	3	3	13	5	9	4	4	4	743837901
anonymous	EN	38	1	0	0	0	3	0	0	0	0	3	0	0	0	3	0	0	0	3	0	0	0	0	11	4	1	4	2	2	100430194
anonymous	EN	28	2	1	0	1	0	1		0	1	2	2	2	1	3	2	1	2	3	2	1	2	2	9	8	8	4	4	3	9000751976
anonymous	EN	33	2	0	0	0	3	0		0	0	3	0	0	1	3	0	0	0	3	0	0	0	0	16	6	8	4	4	4	2112147579
anonymous	EN	35	2	1	2	0	3	1		0	2	2	0	0	2	2	1	0	0	2	0	0	0	1	3	2	1	4	4	3	2421437297
anonymous	EN	28	2	2	1	2	1	2		1	2	1	2	1	0	1	2	3	1	2	1	2	3	2	4	4	4	3	3	2	1037270636
anonymous	EN	29	2	1	1	1	2	1	0	1	1	3	0	0	1	2	1	1	0	2	1	1	0	1	16	1	13	4	1	4	4634224274
anonymous	EN	36	1	1	0	1	1	1	0	1	0	0	0	0	2	0	1	2	1	0	0	1	2	0	2	1	3	4	3	4	3811532896
anonymous	EN	25	1	1	1	2	2	2		2	1	2	2	1	2	2	2	1	2	2	1	2	2	1	3	2	2	4	3	3	3242948562
anonymous	EN	34	1	0	0	0	3	0		0	0	2	0	1	0	2	0	0	0	2	0	1	0	0	5	5	1	4	4	4	5157383624
anonymous	EN	25	1	2	1	0	2	3		2	1	2	3	2	1	2	3	2	2	3	2	1	2	1	3	5	3	3	3	3	6329133384
anonymous	EN	24	2	2	1	2	3	0		1	2	3	2	1	0	1	1	0	1	3	2	1	0	2	5	4	7	4	4	4	6208572085
anonymous	EN	38	2	1	0	1	3	2	0	1	1	2	0	1	2	1	2	1	0	1	0	1	0	1	2	2	6	4	2	4	6347242021
anonymous	EN	39	1	1	0	0	3	0		0	0	3	0	0	0	3	0	0	0	3	0	0	0	0	11	6	1	4	4	4	4730116939
anonymous	EN	27	2	2	1	2	2	1		2	2	2	1	2	1	1	2	1	1	2	1	2	1	1	6	5	1	4	3	3	3950055809
anonymous	EN	65	1	3	3	3	3	3		3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	4	4	4	4	3	3	6355822794
anonymous	EN	29	1	2	1	1	1	2		1	1	2	1	1	2	2	2	3	2	3	1	2	2	3	6	4	7	3	3	3	8366291401
anonymous	EN	25	1	1	0	2	3	1		0	1	2	1	0	1	2	3	2	2	3	2	1	0	0	8	5	4	4	1	2	2981371595
anonymous	EN	21	2	3	0	1	0	0		2	3	0	1	1	2	3	1	1	1	2	0	1	1	0	3	11	4	4	2	2	4713181108
anonymous	EN	44	2	3	3	3	3	3	0	3	3	0	3	3	3	0	3	3	3	0	3	3	3	3	6	1	1	3	2	2	531738647
anonymous	EN	24	1	0	0	0	3	0		0	0	3	0	0	0	3	0	0	0	3	0	0	0	0	6	21	6	4	4	2	1787059246
anonymous	EN	38	2	2	1	2	2	1		2	3	2	1	2	2	3	2	2	2	1	2	3	2	2	5	4	5	4	4	4	686627952
anonymous	EN	30	1	0	0	0	3	0		0	3	3	0	0	0	3	0	0	0	3	0	0	0	0	8	8	8	4	4	4	6728869187
anonymous	EN	34	2	3	2	2	3	3		3	3	3	2	2	3	3	3	2	3	2	2	2	3	3	5	5	6	4	4	3	8516189255
anonymous	EN	25	2	2	1	2	1	2		1	2	2	1	0	1	2	1	2	2	1	2	1	2	1	8	8	10	4	3	3	1350142275
anonymous	EN	34	2	2	0	2	1	1		2	1	1	1	1	1	0	1	1	0	0	0	2	1	1	7	6	1	4	3	3	9015976949
anonymous	EN	41	1	0	0	0	3	0	0	0	1	2	0	0	1	2	0	0	0	2	0	0	0	1	4	4	3	4	4	4	2264446159
anonymous	EN	29	2	1	2	1	2	0		2	0	1	2	0	2	3	1	2	1	2	0	1	2	1	4	3	2	4	2	1	8664346374
anonymous	EN	41	1	2	1	2	1	3		2	2	1	2	1	3	1	1	1	1	1	1	2	2	1	4	4	1	3	3	3	185442231
anonymous	EN	29	1	2	1	2	1	2		1	2	2	1	2	1	2	1	1	2	1	2	0	2	1	8	8	1	3	3	3	2989346967
anonymous	EN	34	1	2	1	1	1	2		2	3	2	2	1	1	2	2	1	3	2	2	1	1	1	9	7	4	4	3	3	3621382038
anonymous	EN	37	1	0	0	0	3	0	0	0	0	3	0	0	0	3	0	0	0	3	0	0	0	0	15	15	1	4	4	2	6421532873
anonymous	EN	27	2	3	2	3	3	2		2	3	3	2	2	3	3	2	3	2	1	1	2	2	3	11	5	6	4	4	2	6627977960
anonymous	EN	58	1	0	0	0	3	0	0	0	0	3	0	0	0	3	0	0	0	3	0	0	0	0	4	2	2	3	4	2	946260909
anonymous	EN	32	1	1	1	2	0	2		3	1	1	2	2	1	2	2	2	1	1	3	1	2	2	6	9	5	3	3	3	4290890749
anonymous	EN	46	2	0	0	0	3	0		0	0	2	0	0	1	3	0	0	0	2	0	0	0	0	6	6	6	4	4	3	7978180772
anonymous	EN	22	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	2	2	2	2	1173730008
anonymous	EN	38	2	0	0	0	2	0	0	0	0	2	0	0	0	2	0	0	0	2	0	0	0	0	3	3	4	4	2	4	3469354193
anonymous	EN	45	2	2	2	1	0	1	0	2	2	0	1	0	1	1	2	2	1	1	0	2	1	2	18	4	4	4	2	3	9036640841
anonymous	EN	27	1	2	3	3	2	2		3	1	1	1	2	2	3	2	1	2	2	1	1	2	3	6	7	5	4	3	3	8685750714
anonymous	EN	28	2	1	0	1	2	2		0	3	2	1	0	2	3	1	1	0	3	1	1	1	0	6	4	4	3	2	2	5555971129
anonymous	EN	48	1	3	3	3	1	3		3	3	0	3	3	3	0	1	2	3	0	1	3	3	3	3	4	1	4	1	3	530258826
anonymous	EN	49	1	0	0	3	1	0		3	3	0	2	0	1	1	0	0	0	1	0	1	0	2	2	2	1	3	2	1	X_9355595554
anonymous	EN	36	2	0	0	0	3	0	0	0	0	1	0	0	1	2	0	0	0	2	0	0	0	0	6	3	3	2	2	2	X_1378490715
anonymous	EN	55	2	0	0	0	3	0	0	0	0	3	0	0	0	3	0	0	0	3	0	0	0	0	4	4	4	3	2	2	5563773787
anonymous	EN	MISMATCH WITH x_1378490715	2	0	0	0	3	0	0	0	0	1	0	0	1	2	0	0	0	2	0	0	0	0	6	3	3	2	2	2	1378490715
anonymous	EN	31	1	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	1	2	0	0	0	0	2	17	17	3	4	4	8960557146
anonymous	EN	42	2	0	1	0	2	0		0	1	2	0	0	3	2	0	0	0	2	0	0	0	1	4	1	3	3	1	2	4681603540
anonymous	EN	38	2	2	1	2	2	1		2	3	2	1	2	2	3	2	2	2	1	2	3	2	2	5	4	5	4	4	4	X_686627952
anonymous	EN	30	1	0	0	0	3	0	0	0	0	2	0	0	0	2	0	0	0	2	0	0	0	0	5	8	1	3	4	4	2193426787
anonymous	EN	28	1	1	0	1	2	1		2	1	2	1	0	1	2	2	1	1	2	2	2	1	1	9	1	1	4	3	3	8388910219
anonymous	EN	31	2	0	0	0	3	0	0	0	0	3	0	0	0	3	0	0	0	3	0	0	0	0	6	8	1	4	4	2	9254862614
anonymous	EN	32	2	1	2	2	1	1		2	2	2	1	2	2	1	1	1	1	2	1	1	2	2	8	6	6	4	3	3	2915055113
anonymous	EN	49	1	0	0	3	1	0		3	3	0	2	0	1	1	0	0	0	1	0	1	0	2	2	2	1	MISMATCH WITH x_9355595554	2	1	9355595554
anonymous	EN	38	1	1	1	2	3	2		1	0	1	0	2	1	3	1	2	1	2	1	0	1	0	7	5	1	4	3	3	6181875336
anonymous	EN	34	1	0	0	0	2	1	0	0	1	2	0	0	0	3	1	0	0	2	0	0	0	0	5	8	4	4	4	2	2251925012
anonymous	EN	35	1	2	1	2	2	2		1	1	2	2	1	1	2	2	2	1	2	2	2	2	2	8	8	8	4	3	3	9782537962
anonymous	EN	35	1	0	0	0	3	0		0	0	3	0	0	2	2	0	0	0	3	0	0	0	0	14	1	1	4	4	4	7803900358
anonymous	EN	69	2	0	1	0	3	0	0	0	0	2	0	1	0	2	1	0	0	2	0	2	0	0	11	5	5	4	2	1	719212084
anonymous	EN	25	1	2	3	2	1	2		2	1	3	2	2	1	2	2	3	2	3	2	1	2	2	16	12	10	4	4	4	629121097
anonymous	EN	23	1	0	1	0	2	1		0	0	1	0	0	0	2	0	0	0	2	0	0	0	0	6	10	10	3	2	2	8769365050
anonymous	EN	27	1	2	3	2	2	3		2	3	1	2	3	2	3	1	2	2	3	2	3	3	2	14	12	15	4	3	2	6530539412
anonymous	EN	31	1	0	0	0	0	0	0	0	0	0	0	0	3	2	0	1	0	0	0	0	0	0	5	5	5	4	3	3	2755548423
anonymous	EN	25	1	2	1	2	1	1		2	2	1	2	1	2	1	2	2	1	1	2	2	2	2	3	2	3				
anonymous	EN	28	2																												
